COLUNA,NOME_TABELA,DESCRICAO
ATRASADA,OBRAS_TOTAIS_IND,"VARIAVEL DENOTA SE A OBRA ATRASOU, OU ESTÁ ATRASADA=1. OU SE NÂO ESTA ATRASA=0"
DIAS_ATRASO_INT,OBRAS_ATRASADA_INFO1,TRAZ A INFORMAÇÂO DE QUANTOS DIAS A OBRA ATRASOU.
DIAS_OBRA_INT,OBRAS_ATRASADA_INFO1,DURACAO EM DIAS OBRA.
DIAS_ATRASO_REL,OBRAS_ATRASADA_INFO1,RAZAO ENTRE OS DIAS DE ATRASO E A DURACAO DA OBRA 
QTD_METAS,OBRAS_TOTAIS_INFO1,QUANTIDADE DE METAS ASSOCIADAS AO CONVENIO
MEDIA_DIAS_ENTRE_META_PROP,OBRAS_TOTAIS_INFO1,MEDIA DE DIAS ENTRE AS METAS DE UM CONVENIO
NUM_EMPRESAS_CONV,OBRAS_TOTAIS_INFO1,NUMERO DE EMPRESAS PERTENCENTES AO CONSORCIO RESPONSAVEL PELO CONVENIO
ATRASADA,OBRAS_TOTAIS_INFO1,"VARIAVEL DENOTA SE A OBRA ATRASOU, OU ESTÁ ATRASADA=1. OU SE NÂO ESTA ATRASA=0"
QTD_METAS,OBRAS_ATRASADA_INFO2,QUANTIDADE DE METAS ASSOCIADAS AO CONVENIO
MEDIA_DIAS_ENTRE_META_PROP,OBRAS_ATRASADA_INFO2,MEDIA DE DIAS ENTRE AS METAS DE UM CONVENIO
NUM_EMPRESAS_CONV,OBRAS_ATRASADA_INFO2,NUMERO DE EMPRESAS PERTENCENTES AO CONSORCIO RESPONSAVEL PELO CONVENIO
